TWS,TWA,BTV,VMG,AWS,AWA,Heel,Reef,Flat
6,42.6,4.60,3.38,9.89,24.3,0.1,1.00,1.00
6,52,5.11,3.14,9.99,28.2,0.2,1.00,1.00
6,60,5.35,2.67,9.83,31.9,0.0,1.00,1.00
6,70,5.47,1.87,9.40,36.8,0.0,1.00,1.00
6,75,5.48,1.42,9.11,39.5,0.0,1.00,1.00
6,80,5.45,0.95,8.78,42.3,0.0,1.00,1.00
6,90,5.39,0.00,8.06,48.1,0.0,1.00,1.00
6,110,5.36,1.83,6.54,59.6,0.1,1.00,1.00
6,120,5.17,2.58,5.63,67.4,0.0,1.00,1.00
6,135,4.60,3.25,4.26,85.3,0.0,1.00,1.00
6,144.2,4.11,3.33,3.59,102.2,0.7,1.00,1.00
6,150,3.83,3.32,3.29,114.5,1.8,1.00,1.00
6,165,3.24,3.13,2.99,148.8,4.8,1.00,1.00
6,180,3.03,3.03,2.97,180.0,4.8,1.00,1.00
8,40.5,5.44,4.13,12.62,24.1,6.6,1.00,1.00
8,52,6.06,3.73,12.65,29.7,6.6,1.00,1.00
8,60,6.29,3.14,12.38,33.8,5.8,1.00,1.00
8,70,6.41,2.19,11.83,39.3,4.2,1.00,1.00
8,75,6.43,1.66,11.48,42.2,3.2,1.00,1.00
8,80,6.43,1.12,11.09,45.2,2.1,1.00,1.00
8,90,6.47,0.00,10.25,50.9,6.2,1.00,1.00
8,110,6.52,2.23,8.41,63.3,2.3,1.00,1.00
8,120,6.34,3.17,7.31,71.4,0.0,1.00,1.00
8,135,5.76,4.08,5.66,88.9,1.0,1.00,1.00
8,148.7,5.04,4.30,4.53,113.4,2.0,1.00,1.00
8,150,4.97,4.30,4.45,116.1,2.6,1.00,1.00
8,165,4.28,4.13,4.02,149.1,4.9,1.00,1.00
8,180,4.03,4.03,3.97,180.0,4.8,1.00,1.00
10,38.8,5.99,4.67,15.06,23.7,14.6,1.00,1.00
10,52,6.66,4.10,14.93,30.8,14.0,1.00,1.00
10,60,6.83,3.42,14.54,35.6,12.4,1.00,1.00
10,70,6.93,2.37,13.89,41.8,9.9,1.00,1.00
10,75,6.96,1.80,13.50,45.0,8.5,1.00,1.00
10,80,6.96,1.21,13.09,48.3,6.9,1.00,1.00
10,90,7.07,0.00,12.03,54.0,13.3,1.00,1.00
10,110,7.16,2.45,10.04,68.1,7.4,1.00,1.00
